home_goals,away_goals,home_shots,away_shots,home_xg,away_xg,home_possession,run,home_pressing,away_pressing,fatigue_model
0,0,8,2,0.30171200000000004,0.07855999999999999,0.5888888888888889,318,high,low,linear
0,0,4,5,0.154816,0.196736,0.3888888888888889,319,high,low,linear
0,0,0,4,0.0,0.158464,0.2111111111111111,320,high,low,linear
0,1,2,4,0.07517599999999999,0.15616000000000002,0.4111111111111111,321,high,low,linear
0,0,3,1,0.110208,0.039456,0.7444444444444445,322,high,low,linear
0,0,3,4,0.11186399999999999,0.15561599999999998,0.5222222222222223,323,high,low,linear
1,0,3,0,0.11618400000000001,0.0,0.5555555555555556,324,high,low,linear
0,0,8,2,0.30452,0.07955200000000001,0.6777777777777778,325,high,low,linear
1,1,3,5,0.11366399999999999,0.19696,0.5777777777777777,326,high,low,linear
0,0,4,2,0.151,0.078624,0.6,327,high,low,linear
0,0,4,1,0.151936,0.038592,0.6555555555555556,328,high,low,linear
0,0,5,3,0.18603199999999998,0.117088,0.6444444444444445,329,high,low,linear
0,0,4,2,0.14948799999999998,0.0784,0.6333333333333333,330,high,low,linear
0,0,4,2,0.14718399999999998,0.078432,0.6,331,high,low,linear
0,0,6,0,0.22416,0.0,0.5555555555555556,332,high,low,linear
0,0,2,6,0.07632800000000001,0.235072,0.4,333,high,low,linear
0,0,2,6,0.07452799999999998,0.23359999999999997,0.36666666666666664,334,high,low,linear
0,1,2,3,0.078344,0.116928,0.45555555555555555,335,high,low,linear
0,0,0,6,0.0,0.236448,0.3333333333333333,336,high,low,linear
0,0,0,2,0.0,0.078112,0.3333333333333333,337,high,low,linear
0,0,3,4,0.110928,0.158944,0.3333333333333333,338,high,low,linear
0,0,6,2,0.22855199999999998,0.078464,0.6222222222222222,339,high,low,linear
1,0,5,3,0.183584,0.11820800000000001,0.4444444444444444,340,high,low,linear
0,0,2,3,0.071576,0.11792,0.37777777777777777,341,high,low,linear
0,1,3,8,0.11603999999999999,0.310752,0.4888888888888889,342,high,low,linear
0,0,3,2,0.11107199999999999,0.07913600000000001,0.37777777777777777,343,high,low,linear
0,0,2,6,0.076472,0.233792,0.28888888888888886,344,high,low,linear
0,0,5,1,0.18653599999999998,0.038912,0.8,345,high,low,linear
1,0,4,1,0.14804799999999999,0.03888,0.6444444444444445,346,high,low,linear
0,0,0,4,0.0,0.1584,0.34444444444444444,347,high,low,linear
0,0,2,1,0.076184,0.03904,0.4666666666666667,348,high,low,linear
0,0,3,4,0.11675999999999999,0.155968,0.35555555555555557,349,high,low,linear
0,0,3,3,0.113952,0.11740800000000001,0.4444444444444444,350,high,low,linear
0,0,9,0,0.33408,0.0,0.7444444444444445,351,high,low,linear
1,0,6,1,0.225312,0.039968,0.8111111111111111,352,high,low,linear
0,0,1,0,0.037552,0.0,0.7222222222222222,353,high,low,linear
0,0,2,3,0.073376,0.11747200000000002,0.4111111111111111,354,high,low,linear
0,0,2,1,0.07064,0.03952,0.5444444444444444,355,high,low,linear
1,0,4,0,0.14992,0.0,0.7888888888888889,356,high,low,linear
0,0,4,4,0.153088,0.15664,0.6666666666666666,357,high,low,linear
